key_resp.corr,key_resp.rt,,,seqRT,,ranRT
1,2.9781487,,,2.9781487,,1.147442
1,2.1430037,,,2.1430037,,1.3563202
1,1.1206571,,,1.1206571,,0.7658539
1,1.0301843,,,1.0301843,,1.0437722
0,2.443598,,,2.443598,,0.8531528
1,18.2883758,,,18.2883758,,0.8567632
0,15.2234361,,,15.2234361,,1.0360518
0,2.544982,,,2.544982,,1.2266535
0,1.7271733,,,1.7271733,,1.5721656
1,1.1290724,,,1.1290724,,1.7136924
1,1.8876205,,,1.8876205,,1.0480715
0,1.8559915,,,1.8559915,,1.7810079
1,1.7832621,,,1.7832621,,0.9251633
1,1.2802894,,,1.2802894,,1.8960709
1,2.2928745,,,2.2928745,,1.0613766
0,1.2461404,,,1.2461404,,1.7102289
0,1.3448358,,,1.3448358,,2.7461362
1,1.3155314,,,1.3155314,,1.3445863
1,1.2308286,,,1.2308286,,1.1362757
1,1.5763635,,,1.5763635,,1.4333519
1,1.4246114,,,1.4246114,,0.9294711
0,2.9185631,,,2.9185631,,0.8962571
0,1.7011582,,,1.7011582,,0.9014157
0,1.9633052,,,1.9633052,,0.9168126
0,1.0271011,,,1.0271011,,1.0695575
1,1.2576079,,,1.2576079,,0.8715386
1,1.4562131,,,1.4562131,,1.0943259
0,0.845461,,,0.845461,,1.4423029
0,2.2836187,,,2.2836187,,1.1306278
0,0.7609912,,,0.7609912,,0.8571168
1,1.0949096,,,1.0949096,,0.3986473
0,1.1052524,,,1.1052524,,1.4956371
0,1.3065514,,,1.3065514,,1.8297303
1,1.1875137,,,1.1875137,,0.7560318
0,1.0837571,,,1.0837571,,0.8211854
1,1.0663382,,,1.0663382,,1.4889979
0,0.9287013,,,0.9287013,,1.4946004
1,1.2195523,,,1.2195523,,1.4536366
1,0.8414869,,,0.8414869,,0.8586765
0,1.2960427,,,1.2960427,,0.9831221
0,0.6714605,,,0.6714605,,1.5509838
1,0.8000058,,,0.8000058,,1.2088177
1,0.9930549,,,0.9930549,,1.3185981
1,0.8455717,,,0.8455717,,2.3382462
0,0.6893266,,,0.6893266,,1.5177115
1,0.7970182,,,0.7970182,,0.9853211
1,1.1729737,,,1.1729737,,0.892111
0,1.09642,,,1.09642,,0.6763587
0,0.3473183,,,0.3473183,,1.2452039
1,1.1483414,,,1.1483414,,1.2416784
1,0.6868313,,,0.6868313,,2.4180113
0,1.2086344,,,1.2086344,,1.4020374
0,0.394115,,,0.394115,,0.7839309
1,0.9326159,,,0.9326159,,0.8809942
1,0.8183782,,,0.8183782,,1.0363409
1,0.9932996,,,0.9932996,,1.1655967
1,0.6550866,,,0.6550866,,1.0876551
1,0.777402,,,0.777402,,1.2622033
1,0.842516,,,0.842516,,1.205827
1,0.9783199,,,0.9783199,,0.9665573
1,0.5533146,,,0.5533146,,1.3996294
1,0.7319731,,,0.7319731,,1.7701092
1,0.6675679,,,0.6675679,,1.0761547
0,0.9761954,,,0.9761954,,1.0591014
0,0.4567811,,,0.4567811,,1.2092343
1,0.8314076,,,0.8314076,,1.6517304
1,0.7771971,,,0.7771971,,0.948098
0,1.0871741,,,1.0871741,,0.7770792
0,0.715019,,,0.715019,,1.7425164
1,1.0200974,,,1.0200974,,1.0143721
1,0.6691376,,,0.6691376,,1.1145558
1,1.6393853,,,1.6393853,,1.363775
1,0.6911232,,,0.6911232,,1.246796
1,0.7415359,,,0.7415359,,0.961492
1,0.5626649,,,0.5626649,,1.2328168
1,1.0536909,,,1.0536909,,0.9169132
1,0.4112161,,,0.4112161,,0.9467664
1,0.6630663,,,0.6630663,,0.8609884
1,0.7337548,,,0.7337548,,0.8093606
0,1.4854273,,,1.4854273,,1.0218142
0,0.3539531,,,0.3539531,,0.4178983
