delay,freq,condition,textbox.text,int_diff(exp),,,,,,
0.4,1000,exp,530,470,,,,,,
0.4,1000,exp,785,215,condition,textbox.text,delay,freq,,int_diff(unexp)
,,,,0,unexp,254,0.4,400,,146
,,,,0,unexp,230,0.7,400,,170
0.1,1000,exp,786,214,unexp,120,0.1,400,,280
0.7,1000,exp,850,150,unexp,50,0.1,400,,350
0.1,1000,exp,755,245,unexp,80,0.7,400,,320
0.7,1000,exp,890,110,unexp,50,0.4,400,,350
0.4,1000,exp,999,1,unexp,250,0.7,400,,150
0.1,1000,exp,435,565,unexp,200,0.1,400,,200
0.7,1000,exp,545,455,unexp,100,0.4,400,,300
,,,,0,unexp,250,0.7,400,,150
0.1,1000,exp,990,10,unexp,70,0.4,400,,330
0.4,1000,exp,320,680,unexp,40,0.1,400,,360
0.7,1000,exp,875,125,unexp,30,0.7,400,,370
0.7,1000,exp,560,440,unexp,50,0.1,400,,350
0.7,1000,exp,996,4,unexp,20,0.4,400,,380
,,,,0,unexp,130,0.1,400,,270
0.1,1000,exp,460,540,unexp,120,0.4,400,,280
0.4,1000,exp,320,680,unexp,725,0.7,400,,-325
,,,,0,unexp,920,0.7,400,,-520
0.1,1000,exp,220,780,unexp,420,0.1,400,,-20
0.4,1000,exp,785,215,unexp,795,0.4,400,,-395
,,,,0,unexp,580,0.4,400,,-180
0.7,1000,exp,450,550,unexp,500,0.1,400,,-100
0.1,1000,exp,600,400,unexp,550,0.7,400,,-150
0.7,1000,exp,800,200,unexp,254,0.4,400,,146
0.4,1000,exp,560,440,unexp,375,0.7,400,,25
0.4,1000,exp,780,220,unexp,230,0.1,400,,170
,,,,0,unexp,115,0.1,400,,285
,,,,0,unexp,355,0.4,400,,45
0.1,1000,exp,400,600,unexp,530,0.7,400,,-130
0.1,1000,exp,460,540,,,,,,3607
,,,,0,,,,,,
0.4,1000,exp,350,650,,,,,,int_diff
0.7,1000,exp,780,220,,,,,,-358.544
0.1,1000,exp,800,200,,,,,,
,,,,0,,,,,,
0.4,1000,exp,550,450,,,,,,
0.4,1000,exp,250,750,,,,,,
0.7,1000,exp,600,400,,,,,,
0.4,1000,exp,670,330,,,,,,
0.7,1000,exp,790,210,,,,,,
0.7,1000,exp,800,200,,,,,,
0.1,1000,exp,540,460,,,,,,
,,,,0,,,,,,
0.1,1000,exp,100,900,,,,,,
,,,,0,,,,,,
0.1,1000,exp,210,790,,,,,,
0.7,1000,exp,320,680,,,,,,
,,,,0,,,,,,
0.7,1000,exp,120,880,,,,,,
,,,,0,,,,,,
0.1,1000,exp,350,650,,,,,,
,,,,0,,,,,,
0.4,1000,exp,650,350,,,,,,
0.4,1000,exp,350,650,,,,,,
0.7,1000,exp,250,750,,,,,,
0.1,1000,exp,250,750,,,,,,
0.4,1000,exp,230,770,,,,,,
0.1,1000,exp,450,550,,,,,,
,,,,0,,,,,,
,,,,0,,,,,,
0.4,1000,exp,250,750,,,,,,
0.4,1000,exp,200,800,,,,,,
0.7,1000,exp,450,550,,,,,,
0.7,1000,exp,830,170,,,,,,
0.7,1000,exp,150,850,,,,,,
0.4,1000,exp,305,695,,,,,,
,,,,0,,,,,,
0.1,1000,exp,575,425,,,,,,
0.1,1000,exp,240,760,,,,,,
0.7,1000,exp,610,390,,,,,,
,,,,0,,,,,,
0.1,1000,exp,335,665,,,,,,
0.4,1000,exp,260,740,,,,,,
0.1,1000,exp,0,1000,,,,,,
0.4,1000,exp,150,850,,,,,,
0.4,1000,exp,910,90,,,,,,
0.7,1000,exp,410,590,,,,,,
0.1,1000,exp,250,750,,,,,,
0.7,1000,exp,560,440,,,,,,
,,,,0,,,,,,
,,,,0,,,,,,
0.7,1000,exp,430,570,,,,,,
0.1,1000,exp,200,800,,,,,,
0.4,1000,exp,560,440,,,,,,
0.7,1000,exp,350,650,,,,,,
0.1,1000,exp,780,220,,,,,,
,,,,0,,,,,,
0.7,1000,exp,425,575,,,,,,
,,,,0,,,,,,
0.4,1000,exp,325,675,,,,,,
0.1,1000,exp,90,910,,,,,,
,,,,0,,,,,,
0.4,1000,exp,990,10,,,,,,
0.7,1000,exp,870,130,,,,,,
0.4,1000,exp,220,780,,,,,,
,,,,0,,,,,,
,,,,0,,,,,,
0.1,1000,exp,420,580,,,,,,
,,,,0,,,,,,
0.7,1000,exp,600,400,,,,,,
0.4,1000,exp,460,540,,,,,,
0.1,1000,exp,125,875,,,,,,
0.7,1000,exp,375,625,,,,,,
0.1,1000,exp,750,250,,,,,,
0.4,1000,exp,450,550,,,,,,
0.4,1000,exp,850,150,,,,,,
,,,,0,,,,,,
0.4,1000,exp,180,820,,,,,,
,,,,0,,,,,,
,,,,0,,,,,,
0.1,1000,exp,345,655,,,,,,
0.1,1000,exp,700,300,,,,,,
0.7,1000,exp,520,480,,,,,,
0.7,1000,exp,650,350,,,,,,
0.1,1000,exp,256,744,,,,,,
0.7,1000,exp,650,350,,,,,,
0.4,1000,exp,320,680,,,,,,
,,,,45063,,,,,,
