key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.354190357,8.466153988,8.466153988,8.767151825,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.049942468,0.001260616,11.89524718,11.89524718,12.19628426,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.039877,0.001218053,14.82159802,14.82159802,15.12267585,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.01765,0.001213524,17.54821903,17.54821903,17.84931166,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.023577,0.001203261,20.37466451,20.37466451,20.67568649,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.05,0.001200242,23.43532292,23.43532292,23.73638536,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.06873,0.001184243,26.84722935,26.84722935,27.14830929,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.85421,0.001266352,29.65692637,29.65692637,29.95808299,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.01,db,1.78323,0.001160999,32.43280742,32.43280742,32.73389673,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.050115262,0.000753472,35.34355149,35.34355149,35.64410195,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,down,0.01,db,0.079653,0.000831657,38.18661501,38.18661501,38.48731731,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.01,db,0.098652,0.000825317,41.28073288,41.28073288,41.58178295,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.01,db,1.88643,0.001187262,44.47481167,44.47481167,44.77591848,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.01,db,0.085432,0.000837996,47.53543567,47.53543567,47.83651863,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.01,db,0.063215,0.000828336,50.69647218,50.69647218,50.99746337,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,down,0.01,db,0.05,0.001216845,54.35908128,54.35908128,54.66009753,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,down,0.01,db,0.076432,0.001210204,57.16877589,57.16877589,57.46969525,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,down,0.01,db,0.08322,0.000366774,60.33028393,60.33028393,60.63131195,0
